1,Coorporativo
2,Metodologías Obra y Construcción
3,Finanzas
4,Liderazgo
5,Idiomas
6,Administración y/o Planificaicón Proyectos
7,Auditoria
8,TI
9,KPI´S
10,GBD
11,Desarrollo
12,ETL´S
13,Administrativo
14,Otros
15,Agregar Categoria
